0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
1	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun classic -mod zoops <input file> -oc <output path>	315	216	meme_1	1	10	0.41290879333060354
2	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun classic -mod zoops <input file> -oc <output path>	320	206	meme_2	1	10	0.42216188420369943
3	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun classic -mod zoops <input file> -oc <output path>	330	199	meme_3	1	10	0.4205396546648627
4	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun classic -mod zoops <input file> -oc <output path>	323	214	meme_4	1	10	0.44759556220791286
5	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun classic -mod zoops <input file> -oc <output path>	493	200	meme_5	5	10	0.6873991948801538
6	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun classic -mod zoops <input file> -oc <output path>	505	219	meme_6	5	10	0.6888480620810858
7	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun classic -mod zoops <input file> -oc <output path>	509	217	meme_7	5	10	0.6863999353942688
8	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun classic -mod zoops <input file> -oc <output path>	496	217	meme_8	5	10	0.6671534737488626
9	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun classic -mod zoops <input file> -oc <output path>	478	201	meme_9	3	10	0.5258006089706829
10	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun classic -mod zoops <input file> -oc <output path>	483	215	meme_10	4	10	0.5601304512946459
11	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun classic -mod zoops <input file> -oc <output path>	490	201	meme_11	4	10	0.6000647210004207
12	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun classic -mod zoops <input file> -oc <output path>	467	202	meme_12	4	10	0.5377528199035613
13	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun de -mod zoops <input file> -oc <output path>	3492	393	meme_13	0	10	0.2642592857454919
14	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun de -mod zoops <input file> -oc <output path>	3302	393	meme_14	0	10	0.2787581463543269
15	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun de -mod zoops <input file> -oc <output path>	3543	393	meme_15	0	10	0.2876986115854022
16	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun de -mod zoops <input file> -oc <output path>	3714	393	meme_16	0	10	0.33060483248476735
17	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun de -mod zoops <input file> -oc <output path>	6008	393	meme_17	0	10	0.3195558518551764
18	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun de -mod zoops <input file> -oc <output path>	5816	393	meme_18	0	10	0.41202414148854183
19	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun de -mod zoops <input file> -oc <output path>	7064	393	meme_19	0	10	0.32090257786623677
20	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun de -mod zoops <input file> -oc <output path>	6252	398	meme_20	0	10	0.3854020277298874
21	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun de -mod zoops <input file> -oc <output path>	4981	393	meme_21	3	10	0.3840082891633467
22	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun de -mod zoops <input file> -oc <output path>	5284	393	meme_22	2	10	0.35471641272459375
23	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun de -mod zoops <input file> -oc <output path>	7339	393	meme_23	3	10	0.35081550919335713
24	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun de -mod zoops <input file> -oc <output path>	7680	393	meme_24	3	10	0.452635941436957
25	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun se -mod zoops <input file> -oc <output path>	4347	392	meme_25	0	10	0.12010957196768719
26	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun se -mod zoops <input file> -oc <output path>	5167	392	meme_26	0	10	0.15777565801385968
