Sites (BDGP5.78),Priori Knowledge,UMAP-1,UMAP-2,K-Means,GMM,Agglomerative (complete),Agglomerative (ward),BIRCH,Spectral Clustering,Louvain,Leiden,OPTICS,DBSCAN,HDBSCAN,HDBSCAN (soft clustering)
2L@10007123@+,Type I,8.851309,7.0637255,1,1,1,0,0,0,0,0,0,0,1,1
2L@10038800@+,Type I,7.533755,5.765711,1,0,1,0,0,0,0,0,0,0,1,1
2L@10058004@+,Type I,6.953392,9.977392,0,1,0,1,1,0,0,0,0,0,1,1
2L@101153@+,Type I,6.1947412,8.500028,0,0,0,1,1,0,0,0,0,0,1,1
2L@1015176@-,Type I,10.007834,6.8475933,1,1,1,0,0,0,0,0,0,0,1,1
2L@10201344@+,Type I,6.5195255,6.4135284,0,0,1,0,0,0,0,0,0,0,1,1
2L@10201923@+,Type II,3.6298983,8.455233,0,0,0,1,1,1,1,1,1,1,0,0
2L@10206142@-,Type II,4.489498,8.738233,0,0,0,1,1,1,1,1,1,1,0,0
2L@10211874@+,Type I,10.546699,7.1284356,1,1,1,0,0,0,0,0,0,0,1,1
2L@10212160@+,Type I,6.8761415,7.957567,0,0,0,1,1,0,0,0,0,0,1,1
2L@10212174@+,Type I,7.8531156,7.461059,1,0,1,0,0,0,0,0,0,0,1,1
2L@10248671@-,Type I,7.061369,9.779765,0,1,0,1,1,0,0,0,0,0,1,1
2L@102606@+,Type I,7.823205,6.3667464,1,0,1,0,0,0,0,0,0,0,1,1
2L@10263022@-,Type I,7.5421968,8.417637,0,0,0,1,0,0,0,0,0,0,1,1
2L@10268004@+,Type I,6.0218496,7.5474854,0,0,0,1,1,0,0,0,0,0,1,1
2L@10269057@+,Type I,6.69835,6.439003,0,0,1,0,0,0,0,0,0,0,1,1
2L@10271919@-,Type I,9.033755,8.038963,1,1,1,0,0,0,0,0,0,0,1,1
2L@10274346@-,Type I,9.066037,6.403044,1,0,1,0,0,0,0,0,0,0,1,1
2L@10284906@-,Type I,10.813861,8.518966,1,1,1,0,0,0,0,0,0,0,1,1
2L@10286853@-,Type I,10.767422,7.01328,1,0,1,0,0,0,0,0,0,0,1,1
2L@10288177@-,Type I,7.716717,8.539065,0,1,0,1,0,0,0,0,0,0,1,1
2L@10289825@-,Type I,8.053134,6.721699,1,0,1,0,0,0,0,0,0,0,1,1
2L@10289989@-,Type I,7.4986076,7.932498,0,0,0,0,0,0,0,0,0,0,1,1
2L@10303252@-,Type I,7.8391075,9.141137,0,1,0,1,0,0,0,0,0,0,1,1
2L@10303253@-,Type I,9.781727,8.058328,1,1,1,0,0,0,0,0,0,0,1,1
2L@10304620@-,Type II,4.390513,8.575545,0,0,0,1,1,1,1,1,1,1,0,0
2L@10327384@-,Type I,5.953046,8.626111,0,0,0,1,1,0,0,0,0,0,1,1
2L@10334581@+,Type I,9.281227,6.889657,1,1,1,0,0,0,0,0,0,0,1,1
2L@10343340@+,Type I,9.037506,7.7558303,1,1,1,0,0,0,0,0,0,0,1,1
2L@10358817@-,Type I,9.531478,7.8057337,1,1,1,0,0,0,0,0,0,0,1,1
2L@10363128@+,Type I,8.876792,9.444316,1,1,1,0,0,0,0,0,0,0,1,1
2L@10363664@+,Type I,7.2727256,7.389042,0,0,1,0,0,0,0,0,0,0,1,1
2L@10415191@+,Type I,7.8428745,10.03876,0,1,0,1,1,0,0,0,0,0,1,1
2L@10421087@-,Type I,7.1479425,8.182848,0,0,0,1,1,0,0,0,0,0,1,1
